Travel Modes,Trip Characteristics,Region,Year,Average Trip Per Day,Average Trip Per Year
Total,Sunday,The Netherlands,2018,2.06,107.0
Total,Sunday,The Netherlands,2019,1.94,101.0
Total,Sunday,The Netherlands,2020,1.64,85.0
Total,Sunday,The Netherlands,2021,1.83,95.0
Total,Sunday,Noord-Nederland (LD),2018,1.97,103.0
Total,Sunday,Noord-Nederland (LD),2019,1.82,95.0
Total,Sunday,Noord-Nederland (LD),2020,1.53,79.0
Total,Sunday,Noord-Nederland (LD),2021,1.75,91.0
Total,Sunday,Oost-Nederland (LD),2018,2.07,108.0
Total,Sunday,Oost-Nederland (LD),2019,1.98,103.0
Total,Sunday,Oost-Nederland (LD),2020,1.64,85.0
Total,Sunday,Oost-Nederland (LD),2021,1.81,94.0
Total,Sunday,West-Nederland (LD),2018,2.06,107.0
Total,Sunday,West-Nederland (LD),2019,1.92,100.0
Total,Sunday,West-Nederland (LD),2020,1.58,82.0
Total,Sunday,West-Nederland (LD),2021,1.79,93.0
Total,Sunday,Zuid-Nederland (LD),2018,2.11,109.0
Total,Sunday,Zuid-Nederland (LD),2019,2.01,105.0
Total,Sunday,Zuid-Nederland (LD),2020,1.81,94.0
Total,Sunday,Zuid-Nederland (LD),2021,1.97,103.0
Total,Sunday,Groningen (PV),2018,2.09,109.0
Total,Sunday,Groningen (PV),2019,1.81,94.0
Total,Sunday,Groningen (PV),2020,1.48,77.0
Total,Sunday,Groningen (PV),2021,1.61,84.0
Total,Sunday,Fryslân (PV),2018,1.87,97.0
Total,Sunday,Fryslân (PV),2019,1.76,92.0
Total,Sunday,Fryslân (PV),2020,1.68,87.0
Total,Sunday,Fryslân (PV),2021,1.74,91.0
Total,Sunday,Drenthe (PV),2018,1.96,102.0
Total,Sunday,Drenthe (PV),2019,1.9,99.0
Total,Sunday,Drenthe (PV),2020,1.38,72.0
Total,Sunday,Drenthe (PV),2021,1.93,100.0
Total,Sunday,Overijssel (PV),2018,2.17,113.0
Total,Sunday,Overijssel (PV),2019,1.96,102.0
Total,Sunday,Overijssel (PV),2020,1.68,87.0
Total,Sunday,Overijssel (PV),2021,1.8,94.0
Total,Sunday,Flevoland (PV),2018,1.67,87.0
Total,Sunday,Flevoland (PV),2019,1.88,98.0
Total,Sunday,Flevoland (PV),2020,1.7,88.0
Total,Sunday,Flevoland (PV),2021,1.52,79.0
Total,Sunday,Gelderland (PV),2018,2.09,109.0
Total,Sunday,Gelderland (PV),2019,2.01,104.0
Total,Sunday,Gelderland (PV),2020,1.61,84.0
Total,Sunday,Gelderland (PV),2021,1.87,97.0
Total,Sunday,Utrecht (PV),2018,2.18,113.0
Total,Sunday,Utrecht (PV),2019,1.96,102.0
Total,Sunday,Utrecht (PV),2020,1.65,86.0
Total,Sunday,Utrecht (PV),2021,1.91,99.0
Total,Sunday,Noord-Holland (PV),2018,2.12,110.0
Total,Sunday,Noord-Holland (PV),2019,1.85,96.0
Total,Sunday,Noord-Holland (PV),2020,1.66,86.0
Total,Sunday,Noord-Holland (PV),2021,1.81,94.0
Total,Sunday,Zuid-Holland (PV),2018,1.98,103.0
Total,Sunday,Zuid-Holland (PV),2019,1.96,102.0
Total,Sunday,Zuid-Holland (PV),2020,1.5,78.0
Total,Sunday,Zuid-Holland (PV),2021,1.75,91.0
Total,Sunday,Zeeland (PV),2018,1.95,101.0
Total,Sunday,Zeeland (PV),2019,1.86,97.0
Total,Sunday,Zeeland (PV),2020,1.44,75.0
Total,Sunday,Zeeland (PV),2021,1.76,91.0
Total,Sunday,Noord-Brabant (PV),2018,2.11,110.0
Total,Sunday,Noord-Brabant (PV),2019,1.96,102.0
Total,Sunday,Noord-Brabant (PV),2020,1.81,94.0
Total,Sunday,Noord-Brabant (PV),2021,2.0,104.0
Total,Sunday,Limburg (PV),2018,2.1,109.0
Total,Sunday,Limburg (PV),2019,2.12,110.0
Total,Sunday,Limburg (PV),2020,1.81,94.0
Total,Sunday,Limburg (PV),2021,1.92,100.0
Total,Sunday,The Netherlands,2018,2.02,105.0
Total,Sunday,The Netherlands,2019,1.89,98.0
Total,Sunday,The Netherlands,2020,1.6,83.0
Total,Sunday,The Netherlands,2021,1.79,93.0
Total,Sunday,Noord-Nederland (LD),2018,1.83,95.0
Total,Sunday,Noord-Nederland (LD),2019,1.67,87.0
Total,Sunday,Noord-Nederland (LD),2020,1.39,72.0
Total,Sunday,Noord-Nederland (LD),2021,1.62,84.0
Total,Sunday,Oost-Nederland (LD),2018,1.97,103.0
Total,Sunday,Oost-Nederland (LD),2019,1.87,97.0
Total,Sunday,Oost-Nederland (LD),2020,1.56,81.0
Total,Sunday,Oost-Nederland (LD),2021,1.72,89.0
Total,Sunday,West-Nederland (LD),2018,1.99,103.0
Total,Sunday,West-Nederland (LD),2019,1.85,96.0
Total,Sunday,West-Nederland (LD),2020,1.52,79.0
Total,Sunday,West-Nederland (LD),2021,1.74,91.0
Total,Sunday,Zuid-Nederland (LD),2018,2.01,104.0
Total,Sunday,Zuid-Nederland (LD),2019,1.91,99.0
Total,Sunday,Zuid-Nederland (LD),2020,1.71,89.0
Total,Sunday,Zuid-Nederland (LD),2021,1.88,98.0
Total,Sunday,Groningen (PV),2018,1.87,97.0
Total,Sunday,Groningen (PV),2019,1.59,83.0
Total,Sunday,Groningen (PV),2020,1.27,66.0
Total,Sunday,Groningen (PV),2021,1.4,73.0
Total,Sunday,Fryslân (PV),2018,1.63,85.0
Total,Sunday,Fryslân (PV),2019,1.49,78.0
Total,Sunday,Fryslân (PV),2020,1.43,74.0
Total,Sunday,Fryslân (PV),2021,1.54,80.0
Total,Sunday,Drenthe (PV),2018,1.72,89.0
Total,Sunday,Drenthe (PV),2019,1.62,84.0
Total,Sunday,Drenthe (PV),2020,1.14,59.0
Total,Sunday,Drenthe (PV),2021,1.65,86.0
Total,Sunday,Overijssel (PV),2018,2.0,104.0
Total,Sunday,Overijssel (PV),2019,1.79,93.0
Total,Sunday,Overijssel (PV),2020,1.52,79.0
Total,Sunday,Overijssel (PV),2021,1.64,85.0
Total,Sunday,Flevoland (PV),2018,1.41,73.0
Total,Sunday,Flevoland (PV),2019,1.61,84.0
Total,Sunday,Flevoland (PV),2020,1.46,76.0
Total,Sunday,Flevoland (PV),2021,1.33,69.0
Total,Sunday,Gelderland (PV),2018,1.97,102.0
Total,Sunday,Gelderland (PV),2019,1.86,97.0
Total,Sunday,Gelderland (PV),2020,1.5,78.0
Total,Sunday,Gelderland (PV),2021,1.74,91.0
Total,Sunday,Utrecht (PV),2018,2.01,105.0
Total,Sunday,Utrecht (PV),2019,1.78,93.0
Total,Sunday,Utrecht (PV),2020,1.55,80.0
Total,Sunday,Utrecht (PV),2021,1.81,94.0
Total,Sunday,Noord-Holland (PV),2018,2.0,104.0
Total,Sunday,Noord-Holland (PV),2019,1.74,90.0
Total,Sunday,Noord-Holland (PV),2020,1.56,81.0
Total,Sunday,Noord-Holland (PV),2021,1.71,89.0
Total,Sunday,Zuid-Holland (PV),2018,1.88,98.0
Total,Sunday,Zuid-Holland (PV),2019,1.87,97.0
Total,Sunday,Zuid-Holland (PV),2020,1.43,74.0
Total,Sunday,Zuid-Holland (PV),2021,1.67,87.0
Total,Sunday,Zeeland (PV),2018,1.67,87.0
Total,Sunday,Zeeland (PV),2019,1.58,82.0
Total,Sunday,Zeeland (PV),2020,1.2,62.0
Total,Sunday,Zeeland (PV),2021,1.5,78.0
Total,Sunday,Noord-Brabant (PV),2018,1.99,104.0
Total,Sunday,Noord-Brabant (PV),2019,1.85,96.0
Total,Sunday,Noord-Brabant (PV),2020,1.7,88.0
Total,Sunday,Noord-Brabant (PV),2021,1.88,98.0
Total,Sunday,Limburg (PV),2018,1.91,99.0
Total,Sunday,Limburg (PV),2019,1.93,100.0
Total,Sunday,Limburg (PV),2020,1.62,84.0
Total,Sunday,Limburg (PV),2021,1.75,91.0
Total,Sunday,The Netherlands,2018,2.11,110.0
Total,Sunday,The Netherlands,2019,1.98,103.0
Total,Sunday,The Netherlands,2020,1.67,87.0
Total,Sunday,The Netherlands,2021,1.87,97.0
Total,Sunday,Noord-Nederland (LD),2018,2.11,110.0
Total,Sunday,Noord-Nederland (LD),2019,1.97,102.0
Total,Sunday,Noord-Nederland (LD),2020,1.66,87.0
Total,Sunday,Noord-Nederland (LD),2021,1.88,98.0
Total,Sunday,Oost-Nederland (LD),2018,2.16,112.0
Total,Sunday,Oost-Nederland (LD),2019,2.08,108.0
Total,Sunday,Oost-Nederland (LD),2020,1.73,90.0
Total,Sunday,Oost-Nederland (LD),2021,1.89,99.0
Total,Sunday,West-Nederland (LD),2018,2.12,110.0
Total,Sunday,West-Nederland (LD),2019,1.98,103.0
Total,Sunday,West-Nederland (LD),2020,1.63,85.0
Total,Sunday,West-Nederland (LD),2021,1.85,96.0
Total,Sunday,Zuid-Nederland (LD),2018,2.2,115.0
Total,Sunday,Zuid-Nederland (LD),2019,2.11,110.0
Total,Sunday,Zuid-Nederland (LD),2020,1.91,99.0
Total,Sunday,Zuid-Nederland (LD),2021,2.07,108.0
Total,Sunday,Groningen (PV),2018,2.32,121.0
Total,Sunday,Groningen (PV),2019,2.04,106.0
Total,Sunday,Groningen (PV),2020,1.69,88.0
Total,Sunday,Groningen (PV),2021,1.82,95.0
Total,Sunday,Fryslân (PV),2018,2.12,110.0
Total,Sunday,Fryslân (PV),2019,2.03,106.0
Total,Sunday,Fryslân (PV),2020,1.93,100.0
Total,Sunday,Fryslân (PV),2021,1.95,101.0
Total,Sunday,Drenthe (PV),2018,2.2,114.0
Total,Sunday,Drenthe (PV),2019,2.17,113.0
Total,Sunday,Drenthe (PV),2020,1.62,84.0
Total,Sunday,Drenthe (PV),2021,2.2,114.0
Total,Sunday,Overijssel (PV),2018,2.34,122.0
Total,Sunday,Overijssel (PV),2019,2.13,111.0
Total,Sunday,Overijssel (PV),2020,1.83,95.0
Total,Sunday,Overijssel (PV),2021,1.96,102.0
Total,Sunday,Flevoland (PV),2018,1.93,100.0
Total,Sunday,Flevoland (PV),2019,2.14,111.0
Total,Sunday,Flevoland (PV),2020,1.94,101.0
Total,Sunday,Flevoland (PV),2021,1.72,90.0
Total,Sunday,Gelderland (PV),2018,2.22,115.0
Total,Sunday,Gelderland (PV),2019,2.15,112.0
Total,Sunday,Gelderland (PV),2020,1.72,90.0
Total,Sunday,Gelderland (PV),2021,1.99,103.0
Total,Sunday,Utrecht (PV),2018,2.35,122.0
Total,Sunday,Utrecht (PV),2019,2.14,111.0
Total,Sunday,Utrecht (PV),2020,1.75,91.0
Total,Sunday,Utrecht (PV),2021,2.02,105.0
Total,Sunday,Noord-Holland (PV),2018,2.23,116.0
Total,Sunday,Noord-Holland (PV),2019,1.96,102.0
Total,Sunday,Noord-Holland (PV),2020,1.76,92.0
Total,Sunday,Noord-Holland (PV),2021,1.9,99.0
Total,Sunday,Zuid-Holland (PV),2018,2.08,108.0
Total,Sunday,Zuid-Holland (PV),2019,2.05,106.0
Total,Sunday,Zuid-Holland (PV),2020,1.57,82.0
Total,Sunday,Zuid-Holland (PV),2021,1.82,95.0
Total,Sunday,Zeeland (PV),2018,2.23,116.0
Total,Sunday,Zeeland (PV),2019,2.14,111.0
Total,Sunday,Zeeland (PV),2020,1.68,88.0
Total,Sunday,Zeeland (PV),2021,2.01,104.0
Total,Sunday,Noord-Brabant (PV),2018,2.22,116.0
Total,Sunday,Noord-Brabant (PV),2019,2.08,108.0
Total,Sunday,Noord-Brabant (PV),2020,1.92,100.0
Total,Sunday,Noord-Brabant (PV),2021,2.12,110.0
Total,Sunday,Limburg (PV),2018,2.29,119.0
Total,Sunday,Limburg (PV),2019,2.31,120.0
Total,Sunday,Limburg (PV),2020,2.0,104.0
Total,Sunday,Limburg (PV),2021,2.08,108.0
Total,Monday,The Netherlands,2018,2.76,147.0
Total,Monday,The Netherlands,2019,2.75,143.0
Total,Monday,The Netherlands,2020,2.32,121.0
Total,Monday,The Netherlands,2021,2.49,129.0
Total,Monday,Noord-Nederland (LD),2018,2.84,150.0
Total,Monday,Noord-Nederland (LD),2019,2.65,138.0
Total,Monday,Noord-Nederland (LD),2020,2.35,122.0
Total,Monday,Noord-Nederland (LD),2021,2.55,132.0
Total,Monday,Oost-Nederland (LD),2018,2.87,152.0
Total,Monday,Oost-Nederland (LD),2019,2.76,144.0
Total,Monday,Oost-Nederland (LD),2020,2.34,122.0
Total,Monday,Oost-Nederland (LD),2021,2.53,131.0
Total,Monday,West-Nederland (LD),2018,2.72,144.0
Total,Monday,West-Nederland (LD),2019,2.75,143.0
Total,Monday,West-Nederland (LD),2020,2.24,117.0
Total,Monday,West-Nederland (LD),2021,2.44,127.0
Total,Monday,Zuid-Nederland (LD),2018,2.72,144.0
Total,Monday,Zuid-Nederland (LD),2019,2.77,144.0
Total,Monday,Zuid-Nederland (LD),2020,2.45,128.0
Total,Monday,Zuid-Nederland (LD),2021,2.53,132.0
Total,Monday,Groningen (PV),2018,2.88,152.0
Total,Monday,Groningen (PV),2019,2.71,141.0
Total,Monday,Groningen (PV),2020,2.24,116.0
Total,Monday,Groningen (PV),2021,2.61,136.0
Total,Monday,Fryslân (PV),2018,2.72,144.0
Total,Monday,Fryslân (PV),2019,2.51,131.0
Total,Monday,Fryslân (PV),2020,2.38,124.0
Total,Monday,Fryslân (PV),2021,2.45,127.0
Total,Monday,Drenthe (PV),2018,2.94,156.0
Total,Monday,Drenthe (PV),2019,2.77,144.0
Total,Monday,Drenthe (PV),2020,2.45,128.0
Total,Monday,Drenthe (PV),2021,2.59,135.0
Total,Monday,Overijssel (PV),2018,2.8,149.0
Total,Monday,Overijssel (PV),2019,2.81,146.0
Total,Monday,Overijssel (PV),2020,2.31,120.0
Total,Monday,Overijssel (PV),2021,2.44,127.0
Total,Monday,Flevoland (PV),2018,2.71,143.0
Total,Monday,Flevoland (PV),2019,2.67,139.0
Total,Monday,Flevoland (PV),2020,2.06,107.0
Total,Monday,Flevoland (PV),2021,2.53,131.0
Total,Monday,Gelderland (PV),2018,2.93,155.0
Total,Monday,Gelderland (PV),2019,2.76,144.0
Total,Monday,Gelderland (PV),2020,2.41,125.0
Total,Monday,Gelderland (PV),2021,2.58,134.0
Total,Monday,Utrecht (PV),2018,2.79,148.0
Total,Monday,Utrecht (PV),2019,2.84,148.0
Total,Monday,Utrecht (PV),2020,2.36,123.0
Total,Monday,Utrecht (PV),2021,2.53,132.0
Total,Monday,Noord-Holland (PV),2018,2.71,144.0
Total,Monday,Noord-Holland (PV),2019,2.72,142.0
Total,Monday,Noord-Holland (PV),2020,2.21,115.0
Total,Monday,Noord-Holland (PV),2021,2.5,130.0
Total,Monday,Zuid-Holland (PV),2018,2.71,143.0
Total,Monday,Zuid-Holland (PV),2019,2.67,139.0
Total,Monday,Zuid-Holland (PV),2020,2.23,116.0
Total,Monday,Zuid-Holland (PV),2021,2.36,123.0
Total,Monday,Zeeland (PV),2018,2.73,145.0
Total,Monday,Zeeland (PV),2019,3.32,173.0
Total,Monday,Zeeland (PV),2020,2.25,117.0
Total,Monday,Zeeland (PV),2021,2.37,123.0
Total,Monday,Noord-Brabant (PV),2018,2.67,141.0
Total,Monday,Noord-Brabant (PV),2019,2.81,146.0
Total,Monday,Noord-Brabant (PV),2020,2.51,130.0
Total,Monday,Noord-Brabant (PV),2021,2.53,131.0
Total,Monday,Limburg (PV),2018,2.85,151.0
Total,Monday,Limburg (PV),2019,2.68,139.0
Total,Monday,Limburg (PV),2020,2.32,121.0
Total,Monday,Limburg (PV),2021,2.55,133.0
Total,Monday,The Netherlands,2018,2.71,144.0
Total,Monday,The Netherlands,2019,2.69,140.0
Total,Monday,The Netherlands,2020,2.27,118.0
Total,Monday,The Netherlands,2021,2.44,127.0
Total,Monday,Noord-Nederland (LD),2018,2.66,141.0
Total,Monday,Noord-Nederland (LD),2019,2.47,129.0
Total,Monday,Noord-Nederland (LD),2020,2.18,113.0
Total,Monday,Noord-Nederland (LD),2021,2.38,124.0
Total,Monday,Oost-Nederland (LD),2018,2.76,146.0
Total,Monday,Oost-Nederland (LD),2019,2.65,138.0
Total,Monday,Oost-Nederland (LD),2020,2.23,116.0
Total,Monday,Oost-Nederland (LD),2021,2.43,126.0
Total,Monday,West-Nederland (LD),2018,2.65,140.0
Total,Monday,West-Nederland (LD),2019,2.67,139.0
Total,Monday,West-Nederland (LD),2020,2.18,113.0
Total,Monday,West-Nederland (LD),2021,2.38,124.0
Total,Monday,Zuid-Nederland (LD),2018,2.61,138.0
Total,Monday,Zuid-Nederland (LD),2019,2.66,138.0
Total,Monday,Zuid-Nederland (LD),2020,2.34,122.0
Total,Monday,Zuid-Nederland (LD),2021,2.43,126.0
Total,Monday,Groningen (PV),2018,2.58,137.0
Total,Monday,Groningen (PV),2019,2.42,126.0
Total,Monday,Groningen (PV),2020,1.94,101.0
Total,Monday,Groningen (PV),2021,2.35,122.0
Total,Monday,Fryslân (PV),2018,2.43,129.0
Total,Monday,Fryslân (PV),2019,2.25,117.0
Total,Monday,Fryslân (PV),2020,2.09,109.0
Total,Monday,Fryslân (PV),2021,2.19,114.0
Total,Monday,Drenthe (PV),2018,2.59,137.0
Total,Monday,Drenthe (PV),2019,2.36,123.0
Total,Monday,Drenthe (PV),2020,2.16,112.0
Total,Monday,Drenthe (PV),2021,2.28,118.0
Total,Monday,Overijssel (PV),2018,2.6,138.0
Total,Monday,Overijssel (PV),2019,2.61,136.0
Total,Monday,Overijssel (PV),2020,2.13,111.0
Total,Monday,Overijssel (PV),2021,2.26,118.0
Total,Monday,Flevoland (PV),2018,2.43,129.0
Total,Monday,Flevoland (PV),2019,2.3,119.0
Total,Monday,Flevoland (PV),2020,1.8,94.0
Total,Monday,Flevoland (PV),2021,2.22,115.0
Total,Monday,Gelderland (PV),2018,2.79,148.0
Total,Monday,Gelderland (PV),2019,2.6,135.0
Total,Monday,Gelderland (PV),2020,2.26,118.0
Total,Monday,Gelderland (PV),2021,2.44,127.0
Total,Monday,Utrecht (PV),2018,2.61,138.0
Total,Monday,Utrecht (PV),2019,2.64,137.0
Total,Monday,Utrecht (PV),2020,2.23,116.0
Total,Monday,Utrecht (PV),2021,2.41,125.0
Total,Monday,Noord-Holland (PV),2018,2.6,138.0
Total,Monday,Noord-Holland (PV),2019,2.59,135.0
Total,Monday,Noord-Holland (PV),2020,2.1,109.0
Total,Monday,Noord-Holland (PV),2021,2.38,124.0
Total,Monday,Zuid-Holland (PV),2018,2.59,137.0
Total,Monday,Zuid-Holland (PV),2019,2.57,133.0
Total,Monday,Zuid-Holland (PV),2020,2.13,111.0
Total,Monday,Zuid-Holland (PV),2021,2.27,118.0
Total,Monday,Zeeland (PV),2018,2.39,127.0
Total,Monday,Zeeland (PV),2019,2.84,147.0
Total,Monday,Zeeland (PV),2020,1.93,100.0
Total,Monday,Zeeland (PV),2021,2.03,106.0
Total,Monday,Noord-Brabant (PV),2018,2.53,134.0
Total,Monday,Noord-Brabant (PV),2019,2.68,139.0
Total,Monday,Noord-Brabant (PV),2020,2.37,123.0
Total,Monday,Noord-Brabant (PV),2021,2.4,125.0
Total,Monday,Limburg (PV),2018,2.64,140.0
Total,Monday,Limburg (PV),2019,2.47,128.0
Total,Monday,Limburg (PV),2020,2.13,111.0
Total,Monday,Limburg (PV),2021,2.36,123.0
Total,Monday,The Netherlands,2018,2.82,149.0
Total,Monday,The Netherlands,2019,2.8,146.0
Total,Monday,The Netherlands,2020,2.37,123.0
Total,Monday,The Netherlands,2021,2.53,132.0
Total,Monday,Noord-Nederland (LD),2018,3.02,160.0
Total,Monday,Noord-Nederland (LD),2019,2.84,147.0
Total,Monday,Noord-Nederland (LD),2020,2.52,131.0
Total,Monday,Noord-Nederland (LD),2021,2.71,141.0
Total,Monday,Oost-Nederland (LD),2018,2.98,158.0
Total,Monday,Oost-Nederland (LD),2019,2.88,150.0
Total,Monday,Oost-Nederland (LD),2020,2.45,127.0
Total,Monday,Oost-Nederland (LD),2021,2.63,137.0
Total,Monday,West-Nederland (LD),2018,2.8,148.0
Total,Monday,West-Nederland (LD),2019,2.82,147.0
Total,Monday,West-Nederland (LD),2020,2.31,120.0
Total,Monday,West-Nederland (LD),2021,2.5,130.0
Total,Monday,Zuid-Nederland (LD),2018,2.84,150.0
Total,Monday,Zuid-Nederland (LD),2019,2.88,150.0
Total,Monday,Zuid-Nederland (LD),2020,2.57,134.0
Total,Monday,Zuid-Nederland (LD),2021,2.64,137.0
Total,Monday,Groningen (PV),2018,3.17,168.0
Total,Monday,Groningen (PV),2019,3.0,156.0
Total,Monday,Groningen (PV),2020,2.53,132.0
Total,Monday,Groningen (PV),2021,2.88,150.0
Total,Monday,Fryslân (PV),2018,3.02,160.0
Total,Monday,Fryslân (PV),2019,2.77,144.0
Total,Monday,Fryslân (PV),2020,2.66,138.0
Total,Monday,Fryslân (PV),2021,2.71,141.0
Total,Monday,Drenthe (PV),2018,3.3,175.0
Total,Monday,Drenthe (PV),2019,3.18,165.0
Total,Monday,Drenthe (PV),2020,2.75,143.0
Total,Monday,Drenthe (PV),2021,2.91,151.0
Total,Monday,Overijssel (PV),2018,3.01,160.0
Total,Monday,Overijssel (PV),2019,3.0,156.0
Total,Monday,Overijssel (PV),2020,2.5,130.0
Total,Monday,Overijssel (PV),2021,2.62,136.0
Total,Monday,Flevoland (PV),2018,2.98,158.0
Total,Monday,Flevoland (PV),2019,3.03,158.0
Total,Monday,Flevoland (PV),2020,2.32,121.0
Total,Monday,Flevoland (PV),2021,2.83,147.0
Total,Monday,Gelderland (PV),2018,3.08,163.0
Total,Monday,Gelderland (PV),2019,2.92,152.0
Total,Monday,Gelderland (PV),2020,2.56,133.0
Total,Monday,Gelderland (PV),2021,2.72,141.0
Total,Monday,Utrecht (PV),2018,2.97,158.0
Total,Monday,Utrecht (PV),2019,3.05,158.0
Total,Monday,Utrecht (PV),2020,2.49,129.0
Total,Monday,Utrecht (PV),2021,2.66,138.0
Total,Monday,Noord-Holland (PV),2018,2.83,150.0
Total,Monday,Noord-Holland (PV),2019,2.86,149.0
Total,Monday,Noord-Holland (PV),2020,2.33,121.0
Total,Monday,Noord-Holland (PV),2021,2.62,136.0
Total,Monday,Zuid-Holland (PV),2018,2.82,150.0
Total,Monday,Zuid-Holland (PV),2019,2.78,144.0
Total,Monday,Zuid-Holland (PV),2020,2.32,121.0
Total,Monday,Zuid-Holland (PV),2021,2.45,128.0
Total,Monday,Zeeland (PV),2018,3.06,162.0
Total,Monday,Zeeland (PV),2019,3.81,198.0
Total,Monday,Zeeland (PV),2020,2.56,133.0
Total,Monday,Zeeland (PV),2021,2.72,141.0
Total,Monday,Noord-Brabant (PV),2018,2.81,149.0
Total,Monday,Noord-Brabant (PV),2019,2.95,153.0
Total,Monday,Noord-Brabant (PV),2020,2.65,138.0
Total,Monday,Noord-Brabant (PV),2021,2.65,138.0
Total,Monday,Limburg (PV),2018,3.06,162.0
Total,Monday,Limburg (PV),2019,2.88,150.0
Total,Monday,Limburg (PV),2020,2.52,131.0
Total,Monday,Limburg (PV),2021,2.74,143.0
Total,Tuesday,The Netherlands,2018,2.92,152.0
Total,Tuesday,The Netherlands,2019,2.8,148.0
Total,Tuesday,The Netherlands,2020,2.47,128.0
Total,Tuesday,The Netherlands,2021,2.59,135.0
Total,Tuesday,Noord-Nederland (LD),2018,2.9,151.0
Total,Tuesday,Noord-Nederland (LD),2019,2.82,150.0
Total,Tuesday,Noord-Nederland (LD),2020,2.6,135.0
Total,Tuesday,Noord-Nederland (LD),2021,2.65,138.0
Total,Tuesday,Oost-Nederland (LD),2018,2.89,150.0
Total,Tuesday,Oost-Nederland (LD),2019,2.77,147.0
Total,Tuesday,Oost-Nederland (LD),2020,2.59,135.0
Total,Tuesday,Oost-Nederland (LD),2021,2.71,141.0
Total,Tuesday,West-Nederland (LD),2018,2.89,150.0
Total,Tuesday,West-Nederland (LD),2019,2.77,147.0
Total,Tuesday,West-Nederland (LD),2020,2.37,123.0
Total,Tuesday,West-Nederland (LD),2021,2.56,133.0
Total,Tuesday,Zuid-Nederland (LD),2018,3.02,157.0
Total,Tuesday,Zuid-Nederland (LD),2019,2.87,152.0
Total,Tuesday,Zuid-Nederland (LD),2020,2.49,129.0
Total,Tuesday,Zuid-Nederland (LD),2021,2.53,132.0
Total,Tuesday,Groningen (PV),2018,2.83,147.0
Total,Tuesday,Groningen (PV),2019,2.7,143.0
Total,Tuesday,Groningen (PV),2020,2.6,135.0
Total,Tuesday,Groningen (PV),2021,2.62,136.0
Total,Tuesday,Fryslân (PV),2018,2.96,154.0
Total,Tuesday,Fryslân (PV),2019,2.82,150.0
Total,Tuesday,Fryslân (PV),2020,2.8,146.0
Total,Tuesday,Fryslân (PV),2021,2.72,142.0
Total,Tuesday,Drenthe (PV),2018,2.89,150.0
Total,Tuesday,Drenthe (PV),2019,2.97,158.0
Total,Tuesday,Drenthe (PV),2020,2.35,122.0
Total,Tuesday,Drenthe (PV),2021,2.6,135.0
Total,Tuesday,Overijssel (PV),2018,2.9,151.0
Total,Tuesday,Overijssel (PV),2019,2.74,145.0
Total,Tuesday,Overijssel (PV),2020,2.68,139.0
Total,Tuesday,Overijssel (PV),2021,2.81,146.0
Total,Tuesday,Flevoland (PV),2018,2.73,142.0
Total,Tuesday,Flevoland (PV),2019,2.6,138.0
Total,Tuesday,Flevoland (PV),2020,2.48,129.0
Total,Tuesday,Flevoland (PV),2021,2.44,127.0
Total,Tuesday,Gelderland (PV),2018,2.92,152.0
Total,Tuesday,Gelderland (PV),2019,2.83,150.0
Total,Tuesday,Gelderland (PV),2020,2.56,133.0
Total,Tuesday,Gelderland (PV),2021,2.7,140.0
Total,Tuesday,Utrecht (PV),2018,2.98,155.0
Total,Tuesday,Utrecht (PV),2019,2.78,148.0
Total,Tuesday,Utrecht (PV),2020,2.5,130.0
Total,Tuesday,Utrecht (PV),2021,2.56,133.0
Total,Tuesday,Noord-Holland (PV),2018,3.0,156.0
Total,Tuesday,Noord-Holland (PV),2019,2.75,146.0
Total,Tuesday,Noord-Holland (PV),2020,2.34,122.0
Total,Tuesday,Noord-Holland (PV),2021,2.55,133.0
Total,Tuesday,Zuid-Holland (PV),2018,2.79,145.0
Total,Tuesday,Zuid-Holland (PV),2019,2.76,146.0
Total,Tuesday,Zuid-Holland (PV),2020,2.31,120.0
Total,Tuesday,Zuid-Holland (PV),2021,2.53,132.0
Total,Tuesday,Zeeland (PV),2018,2.72,141.0
Total,Tuesday,Zeeland (PV),2019,2.91,154.0
Total,Tuesday,Zeeland (PV),2020,2.74,143.0
Total,Tuesday,Zeeland (PV),2021,2.85,148.0
Total,Tuesday,Noord-Brabant (PV),2018,3.1,161.0
Total,Tuesday,Noord-Brabant (PV),2019,2.92,155.0
Total,Tuesday,Noord-Brabant (PV),2020,2.51,130.0
Total,Tuesday,Noord-Brabant (PV),2021,2.54,132.0
Total,Tuesday,Limburg (PV),2018,2.82,147.0
Total,Tuesday,Limburg (PV),2019,2.77,147.0
Total,Tuesday,Limburg (PV),2020,2.45,127.0
Total,Tuesday,Limburg (PV),2021,2.52,131.0
Total,Tuesday,The Netherlands,2018,2.86,149.0
Total,Tuesday,The Netherlands,2019,2.74,145.0
Total,Tuesday,The Netherlands,2020,2.42,126.0
Total,Tuesday,The Netherlands,2021,2.55,132.0
Total,Tuesday,Noord-Nederland (LD),2018,2.74,143.0
Total,Tuesday,Noord-Nederland (LD),2019,2.64,140.0
Total,Tuesday,Noord-Nederland (LD),2020,2.42,126.0
Total,Tuesday,Noord-Nederland (LD),2021,2.5,130.0
Total,Tuesday,Oost-Nederland (LD),2018,2.78,145.0
Total,Tuesday,Oost-Nederland (LD),2019,2.66,141.0
Total,Tuesday,Oost-Nederland (LD),2020,2.48,129.0
